MsgID.LOCAL_POSITION,0.9020000,0.0531953,-0.0362595,-0.0825000
MsgID.LOCAL_VELOCITY,0.9020000,0.0000320,-0.0000120,-0.0000045
MsgID.GLOBAL_POSITION,0.0000000,-122.3957520,37.7932823,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932818,0.0000000
MsgID.LOCAL_POSITION,1.1520000,0.0979763,-0.0487702,-0.0825043
MsgID.LOCAL_VELOCITY,1.1520000,0.0000106,-0.0000034,-0.0000294
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932827,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1.4020000,-0.0661497,-0.1503981,-0.0825844
MsgID.LOCAL_VELOCITY,1.4020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957533,37.7932812,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1.6520000,-0.1494060,-0.1344311,-0.0843368
MsgID.LOCAL_VELOCITY,1.6520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957531,37.7932804,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1.9020000,0.0272218,0.0549894,-0.0913982
MsgID.LOCAL_VELOCITY,1.9020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957510,37.7932820,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932818,0.0000000
MsgID.LOCAL_POSITION,2.1520000,0.0861925,0.1435891,-0.1065344
MsgID.LOCAL_VELOCITY,2.1520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932825,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
